"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24","Case b48bf112-b2a7-44eb-bad7-af3ca0ab7f45","tests","2026-03-20","failed","2026-03-20","","test_case_0001_b48bf112_b2a7_44eb_bad7_af3ca0ab7f45","",""
"","270","Case 5b35d877-2964-422d-a004-01b16c535b5a","tests","2026-03-20","passed","2026-03-20","","test_case_0002_5b35d877_2964_422d_a004_01b16c535b5a","",""
